,Country,code
1892,Japan,JPN
1891,Japan,JPN
1890,Japan,JPN
1889,Japan,JPN
1888,United States,USA
1887,United States,USA
1886,United States,USA
1885,United States,USA
1884,United States,USA
1883,India,IND
1882,India,IND
1881,India,IND
1880,India,IND
1879,India,IND
1878,India,IND
1877,India,IND
1876,India,IND
1875,India,IND
1874,India,IND
1873,India,IND
1872,India,IND
1871,India,IND
1870,India,IND
1869,India,IND
1868,India,IND
1867,India,IND
1866,India,IND
1865,India,IND
1864,India,IND
1863,India,IND
1862,India,IND
1861,India,IND
1860,India,IND
1859,India,IND
1858,India,IND
1857,India,IND
1856,India,IND
1855,India,IND
1854,India,IND
1853,India,IND
1852,India,IND
1851,India,IND
1850,India,IND
1849,India,IND
1848,India,IND
1847,India,IND
1846,India,IND
1845,India,IND
1844,India,IND
1843,India,IND
1842,India,IND
1841,India,IND
1840,India,IND
1839,India,IND
1838,India,IND
1837,India,IND
1836,India,IND
1835,India,IND
1834,India,IND
1833,India,IND
1832,India,IND
1831,India,IND
1830,India,IND
1829,India,IND
1828,India,IND
1827,India,IND
1826,India,IND
1825,India,IND
1824,India,IND
1823,India,IND
1822,India,IND
1821,India,IND
1820,India,IND
1819,India,IND
1818,India,IND
1817,India,IND
1816,India,IND
1815,India,IND
1814,India,IND
1813,India,IND
1812,India,IND
1811,India,IND
1810,India,IND
1809,India,IND
1808,India,IND
1807,India,IND
1806,India,IND
1805,India,IND
1804,India,IND
1803,India,IND
1802,India,IND
1801,India,IND
1800,India,IND
1799,India,IND
1798,India,IND
1797,India,IND
1796,India,IND
1795,India,IND
1794,India,IND
1793,India,IND
1792,India,IND
1791,India,IND
1790,India,IND
1789,India,IND
1788,India,IND
1787,India,IND
1786,India,IND
1785,India,IND
1784,India,IND
1783,India,IND
1782,India,IND
1781,India,IND
1780,India,IND
1779,India,IND
1778,India,IND
1777,India,IND
1776,India,IND
1775,India,IND
1774,India,IND
1773,India,IND
1772,India,IND
1771,India,IND
1770,India,IND
1769,India,IND
1768,India,IND
1767,India,IND
1766,India,IND
1765,India,IND
1764,India,IND
1763,India,IND
1762,India,IND
1761,India,IND
1760,India,IND
1759,India,IND
1758,India,IND
1757,India,IND
1756,India,IND
1755,India,IND
1754,India,IND
1753,India,IND
1752,India,IND
1751,India,IND
1750,India,IND
1749,India,IND
1748,India,IND
1747,India,IND
1746,India,IND
1745,India,IND
1744,India,IND
1743,India,IND
1742,India,IND
1741,India,IND
1740,India,IND
1739,India,IND
1738,India,IND
1737,India,IND
1736,India,IND
1735,India,IND
1734,India,IND
1733,India,IND
1732,India,IND
1731,India,IND
1730,India,IND
1729,India,IND
1728,India,IND
1727,India,IND
1726,India,IND
1725,India,IND
1724,India,IND
1723,India,IND
1722,India,IND
1721,India,IND
1720,India,IND
1719,India,IND
1718,India,IND
1717,India,IND
1716,India,IND
1715,India,IND
1714,India,IND
1713,India,IND
1712,India,IND
1711,India,IND
1710,India,IND
1709,India,IND
1708,India,IND
1707,India,IND
1706,India,IND
1705,India,IND
1704,India,IND
1703,India,IND
1702,India,IND
1701,India,IND
1700,India,IND
1699,India,IND
1698,India,IND
1697,India,IND
1696,India,IND
1695,India,IND
1694,India,IND
1693,India,IND
1692,India,IND
1691,India,IND
1690,India,IND
1689,India,IND
1688,India,IND
1687,India,IND
1686,India,IND
1685,India,IND
1684,India,IND
1683,India,IND
1682,India,IND
1681,India,IND
1680,India,IND
1679,India,IND
1678,India,IND
1677,India,IND
1676,India,IND
1675,India,IND
1674,India,IND
1673,India,IND
1672,India,IND
1671,India,IND
1670,India,IND
1669,India,IND
1668,India,IND
1667,India,IND
1666,India,IND
1665,India,IND
1664,India,IND
1663,India,IND
1662,India,IND
1661,India,IND
1660,India,IND
1659,India,IND
1658,India,IND
1657,India,IND
1656,India,IND
1655,India,IND
1654,India,IND
1653,India,IND
1652,India,IND
1651,India,IND
1650,India,IND
1649,India,IND
1648,India,IND
1647,India,IND
1646,India,IND
1645,India,IND
1644,India,IND
1643,India,IND
1642,India,IND
1641,India,IND
1640,India,IND
1639,India,IND
1638,India,IND
1637,India,IND
1636,India,IND
1635,India,IND
1634,India,IND
1633,India,IND
1632,India,IND
1631,India,IND
1630,India,IND
1629,India,IND
1628,India,IND
1627,India,IND
1626,India,IND
1625,India,IND
1624,India,IND
1623,India,IND
1622,India,IND
1621,India,IND
1620,India,IND
1619,India,IND
1618,India,IND
1617,India,IND
1616,India,IND
1615,India,IND
1614,India,IND
1613,India,IND
1612,India,IND
1611,India,IND
1610,India,IND
1609,India,IND
1608,India,IND
1607,India,IND
1606,India,IND
1605,India,IND
1604,India,IND
1603,India,IND
1602,India,IND
1601,India,IND
1600,India,IND
1599,India,IND
1598,India,IND
1597,India,IND
1596,India,IND
1595,India,IND
1594,India,IND
1593,India,IND
1592,India,IND
1591,India,IND
1590,India,IND
1589,India,IND
1588,India,IND
1587,India,IND
1586,India,IND
1585,India,IND
1584,India,IND
1583,India,IND
1582,India,IND
1581,India,IND
1580,India,IND
1579,India,IND
1578,India,IND
1577,India,IND
1576,India,IND
1575,India,IND
1574,India,IND
1573,India,IND
1572,India,IND
1571,India,IND
1570,India,IND
1569,India,IND
1568,India,IND
1567,India,IND
1566,India,IND
1565,India,IND
1564,India,IND
1563,India,IND
1562,India,IND
1561,India,IND
1560,India,IND
1559,India,IND
1558,India,IND
1557,India,IND
1556,India,IND
1555,India,IND
1554,India,IND
1553,India,IND
1552,India,IND
1551,India,IND
1550,India,IND
1549,India,IND
1548,India,IND
1547,India,IND
1546,India,IND
1545,India,IND
1544,India,IND
1543,India,IND
1542,India,IND
1541,India,IND
1540,India,IND
1539,India,IND
1538,India,IND
1537,India,IND
1536,India,IND
1535,India,IND
1534,India,IND
1533,India,IND
1532,India,IND
1531,India,IND
1530,India,IND
1529,India,IND
1528,India,IND
1527,India,IND
1526,India,IND
1525,India,IND
1524,India,IND
1523,India,IND
1522,India,IND
1521,India,IND
1520,India,IND
1519,India,IND
1518,India,IND
1517,India,IND
1516,India,IND
1515,India,IND
1514,India,IND
1513,India,IND
1512,India,IND
1511,India,IND
1510,India,IND
1509,India,IND
1508,India,IND
1507,India,IND
1506,India,IND
1505,India,IND
1504,India,IND
1503,India,IND
1502,India,IND
1501,India,IND
1500,India,IND
1499,India,IND
1498,India,IND
1497,India,IND
1496,India,IND
1495,India,IND
1494,India,IND
1493,India,IND
1492,India,IND
1491,India,IND
1490,India,IND
1489,India,IND
1488,India,IND
1487,India,IND
1486,India,IND
1485,India,IND
1484,India,IND
1483,India,IND
1482,India,IND
1481,India,IND
1480,India,IND
1479,India,IND
1478,India,IND
1477,India,IND
1476,India,IND
1475,India,IND
1474,India,IND
1473,India,IND
1472,India,IND
1471,India,IND
1470,India,IND
1469,India,IND
1468,India,IND
1467,India,IND
1466,India,IND
1465,India,IND
1464,India,IND
1463,India,IND
1462,India,IND
1461,India,IND
1460,India,IND
1459,India,IND
1458,India,IND
1457,India,IND
1456,India,IND
1455,India,IND
1454,India,IND
1453,India,IND
1452,India,IND
1451,India,IND
1450,India,IND
1449,India,IND
1448,India,IND
1447,India,IND
1446,India,IND
1445,India,IND
1444,India,IND
1443,India,IND
1442,India,IND
1441,India,IND
1440,India,IND
1439,India,IND
1438,India,IND
1437,India,IND
1436,India,IND
1435,India,IND
1434,India,IND
1433,India,IND
1432,India,IND
1431,India,IND
1430,India,IND
1429,India,IND
1428,India,IND
1427,India,IND
1426,India,IND
1425,India,IND
1424,India,IND
1423,India,IND
1422,India,IND
1421,India,IND
1420,India,IND
1419,India,IND
1418,India,IND
1417,India,IND
1416,India,IND
1415,India,IND
1414,India,IND
1413,India,IND
1412,India,IND
1411,India,IND
1410,India,IND
1409,India,IND
1408,India,IND
1407,India,IND
1406,India,IND
1405,India,IND
1404,India,IND
1403,India,IND
1402,India,IND
1401,India,IND
1400,India,IND
1399,India,IND
1398,India,IND
1397,India,IND
1396,India,IND
1395,India,IND
1394,India,IND
1393,India,IND
1392,India,IND
1391,India,IND
1390,India,IND
1389,India,IND
1388,India,IND
1387,India,IND
1386,India,IND
1385,India,IND
1384,India,IND
1383,India,IND
1382,India,IND
1381,India,IND
1380,India,IND
1379,India,IND
1378,India,IND
1377,India,IND
1376,India,IND
1375,India,IND
1374,India,IND
1373,India,IND
1372,India,IND
1371,India,IND
1370,India,IND
1369,India,IND
1368,India,IND
1367,India,IND
1366,India,IND
1365,India,IND
1364,India,IND
1363,India,IND
1362,India,IND
1361,India,IND
1360,India,IND
1359,India,IND
1358,India,IND
1357,India,IND
1356,India,IND
1355,India,IND
1354,India,IND
1353,India,IND
1352,India,IND
1351,India,IND
1350,India,IND
1349,India,IND
1348,India,IND
1347,India,IND
1346,India,IND
1345,India,IND
1344,India,IND
1343,India,IND
1342,India,IND
1341,India,IND
1340,India,IND
1339,India,IND
1338,India,IND
1337,India,IND
1336,India,IND
1335,India,IND
1334,India,IND
1333,India,IND
1332,India,IND
1331,India,IND
1330,India,IND
1329,India,IND
1328,India,IND
1327,India,IND
1326,India,IND
1325,India,IND
1324,India,IND
1323,India,IND
1322,India,IND
1321,India,IND
1320,India,IND
1319,India,IND
1318,India,IND
1317,India,IND
1316,India,IND
1315,India,IND
1314,India,IND
1313,India,IND
1312,India,IND
1311,India,IND
1310,India,IND
1309,India,IND
1308,India,IND
1307,India,IND
1306,India,IND
1305,India,IND
1304,India,IND
1303,India,IND
1302,India,IND
1301,India,IND
1300,India,IND
1299,India,IND
1298,India,IND
1297,India,IND
1296,India,IND
1295,India,IND
1294,India,IND
1293,India,IND
1292,India,IND
1291,India,IND
1290,India,IND
1289,India,IND
1288,India,IND
1287,India,IND
1286,India,IND
1285,India,IND
1284,India,IND
1283,India,IND
1282,India,IND
1281,India,IND
1280,India,IND
1279,India,IND
1278,India,IND
1277,India,IND
1276,India,IND
1275,India,IND
1274,India,IND
1273,India,IND
1272,India,IND
1271,India,IND
1270,India,IND
1269,India,IND
1268,India,IND
1267,India,IND
1266,India,IND
1265,India,IND
1264,India,IND
1263,India,IND
1262,India,IND
1261,India,IND
1260,India,IND
1259,India,IND
1258,India,IND
1257,India,IND
1256,India,IND
1255,India,IND
1254,India,IND
1253,India,IND
1252,India,IND
1251,India,IND
1250,India,IND
1249,India,IND
1248,India,IND
1247,India,IND
1246,India,IND
1245,India,IND
1244,India,IND
1243,India,IND
1242,India,IND
1241,India,IND
1240,India,IND
1239,India,IND
1238,India,IND
1237,India,IND
1236,India,IND
1235,India,IND
1234,India,IND
1233,India,IND
1232,India,IND
1231,India,IND
1230,India,IND
1229,India,IND
1228,India,IND
1227,India,IND
1226,India,IND
1225,India,IND
1224,India,IND
1223,India,IND
1222,India,IND
1221,India,IND
1220,India,IND
1219,India,IND
1218,India,IND
1217,India,IND
1216,India,IND
1215,India,IND
1214,India,IND
1213,India,IND
1212,India,IND
1211,India,IND
1210,India,IND
1209,India,IND
1208,India,IND
1207,India,IND
1206,India,IND
1205,India,IND
1204,India,IND
1203,India,IND
1202,India,IND
1201,India,IND
1200,India,IND
1199,India,IND
1198,India,IND
1197,India,IND
1196,India,IND
1195,India,IND
1194,India,IND
1193,India,IND
1192,India,IND
1191,India,IND
1190,India,IND
1189,India,IND
1188,India,IND
1187,India,IND
1186,India,IND
1185,India,IND
1184,India,IND
1183,India,IND
1182,India,IND
1181,India,IND
1180,India,IND
1179,India,IND
1178,India,IND
1177,India,IND
1176,India,IND
1175,India,IND
1174,India,IND
1173,India,IND
1172,India,IND
1171,India,IND
1170,India,IND
1169,India,IND
1168,India,IND
1167,India,IND
1166,India,IND
1165,India,IND
1164,India,IND
1163,India,IND
1162,India,IND
1161,India,IND
1160,India,IND
1159,India,IND
1158,India,IND
1157,India,IND
1156,India,IND
1155,India,IND
1154,India,IND
1153,India,IND
1152,India,IND
1151,India,IND
1150,India,IND
1149,India,IND
1148,India,IND
1147,India,IND
1146,India,IND
1145,India,IND
1144,India,IND
1143,India,IND
1142,India,IND
1141,India,IND
1140,India,IND
1139,India,IND
1138,India,IND
1137,India,IND
1136,India,IND
1135,India,IND
1134,India,IND
1133,India,IND
1132,India,IND
1131,India,IND
1130,India,IND
1129,India,IND
1128,India,IND
1127,India,IND
1126,India,IND
1125,India,IND
1124,India,IND
1123,India,IND
1122,India,IND
1121,India,IND
1120,India,IND
1119,India,IND
1118,India,IND
1117,India,IND
1116,India,IND
1115,India,IND
1114,India,IND
1113,India,IND
1112,India,IND
1111,India,IND
1110,India,IND
1109,India,IND
1108,India,IND
1107,India,IND
1106,India,IND
1105,India,IND
1104,India,IND
1103,India,IND
1102,India,IND
1101,India,IND
1100,India,IND
1099,India,IND
1098,India,IND
1097,India,IND
1096,India,IND
1095,India,IND
1094,India,IND
1093,India,IND
1092,India,IND
1091,India,IND
1090,India,IND
1089,India,IND
1088,India,IND
1087,India,IND
1086,India,IND
1085,India,IND
1084,India,IND
1083,India,IND
1082,India,IND
1081,India,IND
1080,India,IND
1079,India,IND
1078,India,IND
1077,India,IND
1076,India,IND
1075,India,IND
1074,India,IND
1073,India,IND
1072,India,IND
1071,India,IND
1070,India,IND
1069,India,IND
1068,India,IND
1067,India,IND
1066,India,IND
1065,India,IND
1064,India,IND
1063,India,IND
1062,India,IND
1061,India,IND
1060,India,IND
1059,India,IND
1058,India,IND
1057,India,IND
1056,India,IND
1055,India,IND
1054,India,IND
1053,India,IND
1052,India,IND
1051,India,IND
1050,India,IND
1049,India,IND
1048,India,IND
1047,India,IND
1046,India,IND
1045,India,IND
1044,India,IND
1043,India,IND
1042,India,IND
1041,India,IND
1040,India,IND
1039,India,IND
1038,India,IND
1037,India,IND
1036,India,IND
1035,India,IND
1034,India,IND
1033,India,IND
1032,India,IND
1031,India,IND
1030,India,IND
1029,India,IND
1028,India,IND
1027,India,IND
1026,India,IND
1025,India,IND
1024,India,IND
1023,India,IND
1022,India,IND
1021,India,IND
1020,China,CHN
1019,Argentina,ARG
1018,Pakistan,PAK
1017,Pakistan,PAK
1016,Pakistan,PAK
1015,Pakistan,PAK
1014,Pakistan,PAK
1013,Pakistan,PAK
1012,Pakistan,PAK
1011,Pakistan,PAK
1010,Pakistan,PAK
1009,Pakistan,PAK
1008,Pakistan,PAK
1007,Pakistan,PAK
1006,Pakistan,PAK
1005,Pakistan,PAK
1004,Pakistan,PAK
1003,Pakistan,PAK
1002,Pakistan,PAK
1001,Pakistan,PAK
1000,Pakistan,PAK
999,Pakistan,PAK
998,Pakistan,PAK
997,Pakistan,PAK
996,Pakistan,PAK
995,Pakistan,PAK
994,Pakistan,PAK
993,Pakistan,PAK
992,Pakistan,PAK
991,Pakistan,PAK
990,Pakistan,PAK
989,Pakistan,PAK
988,Pakistan,PAK
987,Pakistan,PAK
986,Pakistan,PAK
985,Pakistan,PAK
984,Pakistan,PAK
983,Pakistan,PAK
982,Pakistan,PAK
981,Pakistan,PAK
980,Pakistan,PAK
979,Pakistan,PAK
978,Pakistan,PAK
977,Pakistan,PAK
976,Pakistan,PAK
975,Russia,RUS
974,Russia,RUS
973,Russia,RUS
972,Russia,RUS
971,Russia,RUS
970,France,FRA
969,Nigeria,NGA
968,Nigeria,NGA
967,Nigeria,NGA
966,Nigeria,NGA
965,Nigeria,NGA
964,Nigeria,NGA
963,Nigeria,NGA
962,Nigeria,NGA
961,Nigeria,NGA
960,Nigeria,NGA
959,United Kingdom,GBR
958,United Kingdom,GBR
957,United Kingdom,GBR
956,United Kingdom,GBR
955,Hong Kong,HKG
954,Hong Kong,HKG
953,Hong Kong,HKG
952,Hong Kong,HKG
951,Hong Kong,HKG
950,Taiwan,TWN
949,Taiwan,TWN
948,Spain,ESP
947,Canada,CAN
946,Canada,CAN
945,Canada,CAN
944,Canada,CAN
943,Canada,CAN
942,Canada,CAN
941,Singapore,SGP
940,Singapore,SGP
939,Singapore,SGP
938,Singapore,SGP
937,Singapore,SGP
936,Singapore,SGP
